센터코드,센터명,자치구,행정동,2.0,2.5,3.0,4.0,5.0,6.0,7.0,10.0,16.0,25.0,40.0,65.0,100.0,120.0,160.0,250.0,283.0,400.0,650.0,999.0,1000.0,1600.0,총합계
9001,자양,광진구,구의제1동,0,0,0,481,0,251,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,736
9001,자양,광진구,능동,3,2488,17,4112,2,538,0,72,47,20,7,8,5,0,0,1,0,1,0,0,1,0,7322
9001,자양,광진구,자양제1동,0,465,0,2287,1,272,0,45,20,5,3,3,3,0,2,1,0,2,0,0,0,0,3109
9001,자양,광진구,자양제3동,9,727,23,6929,2,3345,2,153,51,17,16,8,6,0,6,16,0,5,0,0,0,0,11315
9001,자양,광진구,자양제4동,0,3826,69,11441,7,630,3,206,73,46,10,1,4,0,3,1,0,0,0,0,0,0,16320
9001,자양,광진구,화양동,11,12945,25,9788,6,871,4,430,204,107,31,29,15,0,17,8,0,4,5,0,1,0,24501
9002,휘경,동대문구,이문제1동,0,3575,12,6555,0,509,1,56,18,16,5,5,1,0,4,2,0,2,1,0,1,0,10763
9002,휘경,동대문구,전농제2동,0,165,7,6499,2,1024,1,64,38,30,14,20,5,0,9,5,0,3,1,0,1,0,7888
9002,휘경,동대문구,청량리동,0,482,3,5407,0,166,2,43,23,15,9,8,6,0,1,1,0,1,1,0,1,0,6169
9002,휘경,동대문구,회기동,0,4230,4,4566,3,640,2,196,96,48,21,15,17,0,5,6,0,1,1,0,0,1,9852
9002,휘경,동대문구,휘경제1동,0,4728,2,5573,0,1604,0,76,42,22,9,4,3,0,0,0,0,3,0,0,0,0,12066
9002,휘경,동대문구,휘경제2동,0,4788,3,8067,3,1304,0,128,66,12,15,13,4,0,4,0,0,0,1,0,0,0,14408
9002,휘경,성북구,석관동,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,6
9003,중부,중구,광희동,26,3272,14,2318,6,503,2,202,146,90,80,29,18,0,28,13,1,23,4,0,2,0,6777
9003,중부,중구,다산동,2,914,7,5592,2,896,0,172,66,31,20,6,3,0,2,0,0,1,0,0,0,0,7714
9003,중부,중구,동화동,0,220,7,2319,0,1661,0,56,28,17,4,3,0,0,1,0,0,1,0,0,0,0,4317
9003,중부,중구,명동,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
9003,중부,중구,신당동,30,2291,45,4019,0,629,0,149,68,42,14,11,7,0,7,6,0,13,1,0,0,0,7332
9003,중부,중구,신당제5동,0,1587,1,3604,0,393,0,100,39,26,4,6,4,0,1,1,0,0,0,0,0,0,5766
9003,중부,중구,약수동,1,421,2,5968,0,1318,0,58,25,20,6,0,3,0,0,0,0,2,0,0,0,0,7824
9003,중부,중구,을지로동,0,1458,9,1823,3,144,0,179,121,66,30,13,14,0,7,7,0,10,1,0,2,0,3887
9003,중부,중구,장충동,0,1273,1,3139,1,357,0,105,76,40,31,13,8,0,9,3,0,7,5,0,1,0,5069
9003,중부,중구,청구동,0,392,5,4045,3,788,0,34,17,15,4,4,3,0,0,0,0,0,0,0,0,0,5310
9003,중부,중구,필동,0,1044,4,1618,0,409,2,161,111,60,22,15,7,0,15,4,0,5,0,0,1,0,3478
9003,중부,중구,황학동,0,3422,9,3690,3,1749,0,180,60,38,8,1,2,0,3,1,0,1,1,0,0,0,9168
9004,구의,광진구,광장동,1,733,88,8184,1,2846,0,152,51,24,20,15,13,0,9,4,0,7,2,0,4,2,12156
9004,구의,광진구,구의제1동,0,4484,17,8910,5,1033,1,169,96,32,5,3,1,0,0,0,0,0,0,0,0,0,14756
9004,구의,광진구,구의제3동,146,3363,20,7658,2,1451,4,156,76,42,15,8,5,0,2,1,0,7,2,0,1,2,12961
9004,구의,광진구,자양제1동,0,2091,15,7105,0,484,0,105,50,12,6,3,1,0,3,0,0,0,0,0,0,0,9875
9004,구의,광진구,자양제2동,1,1669,20,8942,0,1965,2,80,67,26,10,11,7,0,11,10,0,1,1,0,0,0,12823
9005,금호,성동구,금호1가동,0,1074,5,5003,3,923,2,39,33,14,5,2,1,0,2,0,0,0,0,0,0,0,7106
9005,금호,성동구,금호2.3가동,1,248,14,8458,4,809,2,115,31,14,7,3,1,0,0,0,0,1,0,0,0,0,9708
9005,금호,성동구,금호4가동,0,133,14,5270,3,1058,3,63,22,8,5,2,2,0,1,1,0,0,0,0,0,0,6585
9005,금호,성동구,옥수동,44,1762,30,6938,3,2083,1,79,31,24,10,5,3,0,3,1,0,0,0,0,2,3,11022
9005,금호,성동구,응봉동,0,37,17,4718,2,980,0,22,4,3,2,1,2,0,0,0,0,0,0,0,0,1,5789
9005,금호,성동구,행당제2동,0,7,12,3533,4,1102,0,17,6,10,0,1,2,0,0,1,0,1,0,0,0,0,4696
9005,금호,용산구,한남동,1,343,11,2715,4,2095,9,651,129,64,28,17,9,0,7,1,0,2,0,0,0,0,6086
9006,면목,중랑구,망우본동,0,2185,43,7583,3,689,3,149,65,35,21,6,0,0,2,1,0,1,0,0,0,0,10786
9006,면목,중랑구,망우제3동,1,1176,51,7374,2,493,0,52,20,5,7,6,2,0,1,1,0,0,0,0,0,0,9191
9006,면목,중랑구,면목제3.8동,1,1819,84,11124,10,623,7,177,63,23,9,5,2,0,3,1,0,0,0,0,0,0,13951
9006,면목,중랑구,면목제4동,2,743,32,8104,3,654,1,58,25,11,5,3,1,0,2,1,0,1,0,0,0,0,9646
9006,면목,중랑구,면목제7동,1,1542,49,8861,10,841,3,103,39,13,5,3,1,0,3,0,0,1,0,0,0,0,11475
9007,행당,성동구,마장동,3,3439,23,7652,4,956,2,87,61,25,23,8,7,0,3,0,0,2,0,0,0,1,12296
9007,행당,성동구,사근동,0,2066,4,3032,0,182,1,39,14,15,15,14,7,0,8,8,0,5,6,0,5,0,5421
9007,행당,성동구,왕십리도선동,13,2633,0,2851,0,307,1,124,56,28,12,3,2,0,3,2,0,1,0,0,0,0,6036
9007,행당,성동구,왕십리제2동,0,829,13,6292,2,993,2,52,21,7,4,4,1,0,1,0,0,0,0,0,0,0,8221
9007,행당,성동구,용답동,0,3055,8,6191,2,239,1,133,52,21,33,9,12,0,7,0,0,3,1,0,0,0,9767
9007,행당,성동구,행당제1동,0,4222,13,7480,2,730,4,265,103,58,17,23,8,0,5,7,0,3,2,0,1,1,12944
9007,행당,성동구,행당제2동,0,104,5,3440,0,936,1,14,6,5,0,2,0,0,0,0,0,1,0,0,0,0,4514
9009,중화,동대문구,이문제1동,0,1840,7,6763,2,1137,0,128,35,8,5,2,0,0,2,0,0,0,0,0,0,0,9929
9009,중화,동대문구,이문제2동,0,934,5,5637,2,2211,0,43,10,7,2,3,0,0,2,0,0,1,0,0,0,0,8857
9009,중화,중랑구,묵제1동,1,5106,4,9692,0,1678,0,122,65,19,10,5,9,0,1,0,0,1,0,0,0,0,16713
9009,중화,중랑구,묵제2동,0,1610,10,7215,0,1018,1,98,48,10,7,3,2,0,0,0,0,0,0,0,0,0,10022
9009,중화,중랑구,중화제2동,0,1355,12,8368,1,698,0,102,42,19,1,3,3,0,1,0,0,0,0,0,0,0,10605
9010,제기,동대문구,신설동,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,7
9010,제기,동대문구,용두동,0,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
9010,제기,동대문구,용신동,0,8135,8,15035,2,1671,1,303,150,70,45,23,18,0,16,5,0,5,1,0,0,0,25488
9010,제기,동대문구,전농제1동,0,2834,3,12405,1,2509,2,169,105,38,21,9,9,0,4,5,0,6,2,0,0,0,18122
9010,제기,동대문구,제기동,0,5258,10,9053,0,1624,2,301,94,33,24,2,5,0,6,1,0,1,0,0,0,0,16414
9010,제기,동대문구,청량리동,0,466,25,2966,4,703,3,105,51,20,42,4,7,0,3,0,1,1,1,0,0,0,4402
9010,제기,성동구,왕십리도선동,0,110,1,6826,0,626,0,69,28,9,7,3,4,0,4,0,0,0,0,0,0,0,7687
9011,삼선,성북구,돈암제1동,0,163,9,4919,1,1345,1,12,11,11,11,6,4,0,0,0,0,0,0,0,0,0,6493
9011,삼선,성북구,동선동,0,1861,0,2055,1,311,0,76,32,20,7,5,2,0,3,1,0,0,1,0,0,0,4375
9011,삼선,성북구,보문동,0,1528,1,6281,2,1049,1,90,43,24,11,6,2,0,1,0,0,1,0,0,0,0,9040
9011,삼선,성북구,삼선동,0,1919,1,4197,0,1126,0,156,65,29,7,8,7,0,1,2,0,0,0,0,0,0,7518
9011,삼선,성북구,안암동,0,5322,11,6273,2,889,2,245,112,48,26,30,36,0,28,14,0,8,0,0,3,1,13050
9011,삼선,성북구,종암동,0,4871,9,12761,1,2427,0,133,76,43,21,8,3,0,3,1,0,1,1,0,0,0,20359
9012,중곡,광진구,구의제2동,0,1748,5,9452,1,1030,1,138,66,23,6,7,2,0,0,1,0,1,0,0,0,0,12481
9012,중곡,광진구,중곡제1동,0,2510,2,6299,0,710,0,115,41,18,7,3,1,0,0,0,0,0,0,0,0,0,9706
9012,중곡,광진구,중곡제2동,0,2552,22,7971,1,815,0,108,56,22,7,2,1,0,0,0,0,0,0,0,0,0,11557
9012,중곡,광진구,중곡제3동,0,1303,7,7432,0,526,1,86,40,17,3,4,0,0,6,2,0,3,0,0,0,0,9430
9012,중곡,광진구,중곡제4동,0,2203,17,10415,6,1410,1,133,50,17,6,5,3,0,0,0,0,0,0,0,0,0,14266
9013,신내,중랑구,망우본동,0,4526,6,4704,0,371,0,72,34,14,13,8,4,0,3,2,0,3,0,0,0,0,9760
9013,신내,중랑구,상봉제1동,2,3030,22,6261,3,1553,0,85,27,12,12,6,3,0,3,2,0,0,1,0,0,0,11022
9013,신내,중랑구,신내1동,5,4623,19,9283,7,974,10,155,72,45,16,6,4,0,4,0,0,2,2,0,1,0,15228
9013,신내,중랑구,신내2동,69,7343,5,1371,6,67,2,34,29,14,8,4,2,0,2,1,0,1,0,0,0,0,8958
9013,신내,중랑구,중화제1동,0,812,13,7884,1,343,2,47,20,19,2,5,5,0,3,0,0,0,0,0,0,0,9156
9014,종로,성북구,삼선동,0,749,4,3751,1,591,0,59,15,6,4,7,4,0,1,1,0,0,0,0,0,0,5193
9014,종로,종로구,숭인제1동,0,285,11,2476,0,240,0,34,8,4,3,0,0,0,1,0,0,0,0,0,0,0,3062
9014,종로,종로구,숭인제2동,0,3998,16,3572,0,786,0,80,48,22,15,6,6,0,3,5,0,1,0,0,0,0,8558
9014,종로,종로구,이화동,0,895,30,3830,7,491,4,140,103,67,46,11,14,0,6,15,0,4,3,0,2,4,5672
9014,종로,종로구,종로1.2.3.4가동,0,2086,58,2791,7,972,8,586,449,269,137,67,71,0,48,20,1,28,18,0,3,3,7622
9014,종로,종로구,종로5.6가동,0,2152,33,2504,3,422,1,178,100,50,30,9,5,0,8,2,0,5,3,0,1,0,5506
9014,종로,종로구,창신제1동,1,561,10,2447,4,169,0,70,39,26,6,5,5,0,2,2,0,5,1,0,0,0,3353
9014,종로,종로구,창신제2동,0,354,26,4424,4,308,2,69,15,7,5,1,0,0,0,0,0,0,0,0,0,0,5215
9014,종로,종로구,창신제3동,0,81,9,2541,1,382,0,23,6,4,4,1,1,0,0,1,0,0,0,0,0,0,3054
9014,종로,종로구,혜화동,0,3204,29,7948,8,1115,3,326,151,52,32,14,18,1,8,4,0,6,0,0,0,0,12919
9016,용산,용산구,남영동,0,839,11,2886,2,375,1,141,104,53,18,9,6,0,6,3,0,5,2,0,3,0,4464
9016,용산,용산구,보광동,0,53,33,3017,4,439,0,38,11,6,5,2,2,0,0,0,0,0,0,0,0,0,3610
9016,용산,용산구,서빙고동,1,61,30,2742,3,543,2,55,23,17,12,1,0,0,1,0,0,0,0,0,0,0,3491
9016,용산,용산구,용산2가동,1,530,20,5482,0,300,0,70,23,7,4,6,5,0,3,6,0,0,1,0,1,0,6459
9016,용산,용산구,이태원제1동,0,362,26,2699,6,1077,0,279,123,76,19,4,6,0,4,4,0,1,3,0,0,1,4690
9016,용산,용산구,이태원제2동,6,1027,30,4250,0,999,0,151,51,23,13,2,0,0,0,2,0,0,0,0,1,0,6555
9016,용산,용산구,한강로동,0,997,0,455,0,232,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1693
9016,용산,용산구,한남동,0,189,18,1550,2,1023,0,196,131,60,18,14,13,0,2,3,0,4,1,0,0,1,3225
9016,용산,용산구,후암동,1,1169,26,6664,9,1191,2,102,55,18,8,7,5,0,4,1,0,0,0,0,0,0,9262
9018,장안,동대문구,답십리제1동,0,3793,64,9707,4,1732,3,110,60,31,16,5,3,0,7,1,0,0,0,0,0,0,15536
9018,장안,동대문구,답십리제2동,3,552,66,10268,7,1630,2,95,38,22,5,7,2,0,1,0,0,1,0,0,0,0,12699
9018,장안,동대문구,장안제1동,0,4987,57,11953,23,3277,14,255,154,57,37,15,16,0,8,1,0,1,0,0,0,0,20855
9018,장안,동대문구,장안제2동,7,3382,60,10199,11,2017,3,289,114,121,28,6,9,0,5,0,0,0,0,0,1,0,16252
9019,상봉,중랑구,면목본동,0,3690,76,14517,5,831,1,152,70,28,8,4,3,0,1,0,0,0,0,0,0,0,19386
9019,상봉,중랑구,면목제2동,10,2299,75,10895,2,829,5,140,49,13,9,2,3,0,2,0,0,0,0,0,0,0,14333
9019,상봉,중랑구,면목제5동,0,580,26,4835,2,1340,2,41,17,8,2,0,0,0,1,0,0,1,0,0,0,0,6855
9019,상봉,중랑구,상봉제2동,1,6647,24,7930,2,836,4,231,106,45,11,7,5,0,4,2,0,1,0,0,0,0,15856
9019,상봉,중랑구,중화제2동,0,611,13,4657,1,217,0,47,18,7,3,4,1,0,1,0,0,0,0,0,0,0,5580
9020,성수,광진구,군자동,0,3948,52,8486,6,1034,2,173,81,51,19,12,7,0,5,2,0,0,1,0,0,0,13879
9020,성수,성동구,성수1가제1동,1,809,43,6316,3,503,1,73,40,22,11,4,7,0,2,0,0,0,0,0,0,0,7835
9020,성수,성동구,성수1가제2동,0,908,31,7117,4,451,2,493,99,41,18,10,4,0,4,4,0,1,3,0,0,0,9190
9020,성수,성동구,성수2가제1동,1,698,111,6630,5,1164,0,195,80,52,28,8,10,0,3,1,0,0,0,0,0,0,8986
